 &plot nbnd=  13, nks=   201 /
            0.000000  0.000000  1.000000
   -8.580   -8.444   -8.444   -8.438   -8.405   -3.872   -0.381    3.711    3.711    7.779
    7.903   16.077   16.077
            0.000000  0.000000  0.975000
   -8.580   -8.444   -8.444   -8.438   -8.405   -3.879   -0.371    3.713    3.713    7.771
    7.918   16.057   16.057
            0.000000  0.000000  0.950000
   -8.579   -8.444   -8.444   -8.438   -8.405   -3.900   -0.342    3.720    3.720    7.752
    7.955   15.999   15.999
            0.000000  0.000000  0.925000
   -8.579   -8.444   -8.444   -8.438   -8.405   -3.934   -0.294    3.733    3.733    7.734
    8.005   15.908   15.908
            0.000000  0.000000  0.900000
   -8.578   -8.445   -8.445   -8.438   -8.405   -3.980   -0.228    3.750    3.750    7.719
    8.063   15.788   15.788
            0.000000  0.000000  0.875000
   -8.577   -8.445   -8.445   -8.437   -8.406   -4.036   -0.147    3.772    3.772    7.710
    8.128   15.645   15.645
            0.000000  0.000000  0.850000
   -8.576   -8.446   -8.446   -8.437   -8.406   -4.102   -0.050    3.799    3.799    7.706
    8.199   15.484   15.484
            0.000000  0.000000  0.825000
   -8.574   -8.447   -8.447   -8.436   -8.406   -4.175    0.059    3.831    3.831    7.707
    8.277   15.311   15.311
            0.000000  0.000000  0.800000
   -8.572   -8.448   -8.448   -8.436   -8.406   -4.254    0.181    3.867    3.867    7.715
    8.359   15.127   15.127
            0.000000  0.000000  0.775000
   -8.571   -8.449   -8.449   -8.435   -8.407   -4.337    0.312    3.909    3.909    7.728
    8.447   14.936   14.936
            0.000000  0.000000  0.750000
   -8.568   -8.450   -8.450   -8.435   -8.407   -4.425    0.452    3.955    3.955    7.747
    8.538   14.739   14.739
            0.000000  0.000000  0.725000
   -8.566   -8.451   -8.451   -8.434   -8.407   -4.514    0.601    4.005    4.005    7.772
    8.633   14.539   14.539
            0.000000  0.000000  0.700000
   -8.564   -8.453   -8.453   -8.433   -8.408   -4.605    0.756    4.060    4.060    7.803
    8.730   14.336   14.336
            0.000000  0.000000  0.675000
   -8.561   -8.454   -8.454   -8.433   -8.408   -4.697    0.918    4.119    4.119    7.840
    8.829   14.131   14.131
            0.000000  0.000000  0.650000
   -8.558   -8.456   -8.456   -8.432   -8.408   -4.789    1.085    4.183    4.183    7.882
    8.927   13.925   13.925
            0.000000  0.000000  0.625000
   -8.555   -8.457   -8.457   -8.431   -8.409   -4.880    1.256    4.251    4.251    7.929
    9.024   13.719   13.719
            0.000000  0.000000  0.600000
   -8.552   -8.459   -8.459   -8.430   -8.409   -4.971    1.433    4.323    4.323    7.982
    9.116   13.513   13.513
            0.000000  0.000000  0.575000
   -8.549   -8.460   -8.460   -8.429   -8.410   -5.059    1.613    4.399    4.399    8.039
    9.202   13.308   13.308
            0.000000  0.000000  0.550000
   -8.545   -8.462   -8.462   -8.428   -8.410   -5.146    1.796    4.479    4.479    8.102
    9.278   13.103   13.103
            0.000000  0.000000  0.525000
   -8.542   -8.464   -8.464   -8.428   -8.411   -5.231    1.983    4.562    4.562    8.169
    9.342   12.900   12.900
            0.000000  0.000000  0.500000
   -8.538   -8.465   -8.465   -8.427   -8.411   -5.313    2.172    4.649    4.649    8.239
    9.388   12.699   12.699
            0.000000  0.000000  0.475000
   -8.535   -8.467   -8.467   -8.426   -8.412   -5.392    2.364    4.739    4.739    8.313
    9.415   12.499   12.499
            0.000000  0.000000  0.450000
   -8.531   -8.468   -8.468   -8.425   -8.412   -5.469    2.559    4.831    4.831    8.389
    9.419   12.301   12.301
            0.000000  0.000000  0.425000
   -8.527   -8.470   -8.470   -8.424   -8.413   -5.542    2.756    4.926    4.926    8.466
    9.400   12.107   12.107
            0.000000  0.000000  0.400000
   -8.524   -8.472   -8.472   -8.424   -8.413   -5.612    2.955    5.024    5.024    8.541
    9.360   11.915   11.915
            0.000000  0.000000  0.375000
   -8.520   -8.473   -8.473   -8.423   -8.414   -5.678    3.155    5.123    5.123    8.607
    9.305   11.727   11.727
            0.000000  0.000000  0.350000
   -8.516   -8.475   -8.475   -8.422   -8.414   -5.740    3.358    5.223    5.223    8.655
    9.247   11.543   11.543
            0.000000  0.000000  0.325000
   -8.513   -8.476   -8.476   -8.421   -8.414   -5.799    3.562    5.324    5.324    8.664
    9.209   11.364   11.364
            0.000000  0.000000  0.300000
   -8.509   -8.477   -8.477   -8.421   -8.415   -5.854    3.768    5.426    5.426    8.613
    9.213   11.190   11.190
            0.000000  0.000000  0.275000
   -8.506   -8.479   -8.479   -8.420   -8.415   -5.905    3.976    5.526    5.526    8.506
    9.258   11.022   11.022
            0.000000  0.000000  0.250000
   -8.503   -8.480   -8.480   -8.420   -8.416   -5.952    4.185    5.625    5.625    8.362
    9.329   10.862   10.862
            0.000000  0.000000  0.225000
   -8.500   -8.481   -8.481   -8.419   -8.416   -5.995    4.395    5.722    5.722    8.194
    9.412   10.710   10.710
            0.000000  0.000000  0.200000
   -8.497   -8.482   -8.482   -8.419   -8.416   -6.033    4.606    5.815    5.815    8.012
    9.499   10.567   10.567
            0.000000  0.000000  0.175000
   -8.495   -8.483   -8.483   -8.418   -8.416   -6.067    4.819    5.902    5.902    7.818
    9.586   10.435   10.435
            0.000000  0.000000  0.150000
   -8.492   -8.484   -8.484   -8.418   -8.417   -6.096    5.032    5.983    5.983    7.618
    9.671   10.316   10.316
            0.000000  0.000000  0.125000
   -8.490   -8.484   -8.484   -8.418   -8.417   -6.122    5.247    6.056    6.056    7.412
    9.748   10.210   10.210
            0.000000  0.000000  0.100000
   -8.489   -8.485   -8.485   -8.418   -8.417   -6.142    5.462    6.119    6.119    7.203
    9.817   10.121   10.121
            0.000000  0.000000  0.075000
   -8.488   -8.485   -8.485   -8.418   -8.417   -6.158    5.677    6.170    6.170    6.992
    9.874   10.049   10.049
            0.000000  0.000000  0.050000
   -8.487   -8.486   -8.486   -8.417   -8.417   -6.170    5.890    6.208    6.208    6.780
    9.917    9.996    9.996
            0.000000  0.000000  0.025000
   -8.486   -8.486   -8.486   -8.417   -8.417   -6.177    6.098    6.231    6.231    6.573
    9.944    9.964    9.964
            0.000000  0.000000  0.000000
   -8.486   -8.486   -8.486   -8.417   -8.417   -6.179    6.239    6.239    6.239    6.432
    9.953    9.953    9.953
           -0.012500  0.012500  0.012500
   -8.486   -8.486   -8.486   -8.417   -8.417   -6.177    6.119    6.237    6.237    6.545
    9.955    9.957    9.957
           -0.025000  0.025000  0.025000
   -8.486   -8.486   -8.486   -8.417   -8.417   -6.172    5.931    6.229    6.229    6.712
    9.960    9.968    9.968
           -0.037500  0.037500  0.037500
   -8.487   -8.486   -8.486   -8.417   -8.417   -6.163    5.732    6.217    6.217    6.876
    9.971    9.987    9.987
           -0.050000  0.050000  0.050000
   -8.488   -8.485   -8.485   -8.417   -8.417   -6.151    5.526    6.200    6.200    7.030
    9.989   10.013   10.013
           -0.062500  0.062500  0.062500
   -8.489   -8.485   -8.485   -8.417   -8.417   -6.136    5.317    6.178    6.178    7.171
   10.015   10.046   10.046
           -0.075000  0.075000  0.075000
   -8.490   -8.485   -8.485   -8.417   -8.417   -6.117    5.105    6.152    6.152    7.297
   10.053   10.084   10.084
           -0.087500  0.087500  0.087500
   -8.491   -8.484   -8.484   -8.417   -8.417   -6.095    4.892    6.123    6.123    7.406
   10.104   10.128   10.128
           -0.100000  0.100000  0.100000
   -8.493   -8.484   -8.484   -8.417   -8.417   -6.069    4.677    6.091    6.091    7.497
   10.170   10.177   10.177
           -0.112500  0.112500  0.112500
   -8.495   -8.483   -8.483   -8.417   -8.417   -6.041    4.462    6.056    6.056    7.569
   10.229   10.229   10.252
           -0.125000  0.125000  0.125000
   -8.496   -8.483   -8.483   -8.417   -8.417   -6.009    4.246    6.018    6.018    7.624
   10.284   10.284   10.351
           -0.137500  0.137500  0.137500
   -8.499   -8.482   -8.482   -8.417   -8.417   -5.974    4.031    5.979    5.979    7.661
   10.341   10.341   10.466
           -0.150000  0.150000  0.150000
   -8.501   -8.482   -8.482   -8.417   -8.417   -5.936    3.817    5.939    5.939    7.683
   10.399   10.399   10.596
           -0.162500  0.162500  0.162500
   -8.503   -8.481   -8.481   -8.417   -8.417   -5.895    3.604    5.897    5.897    7.692
   10.457   10.457   10.740
           -0.175000  0.175000  0.175000
   -8.505   -8.480   -8.480   -8.417   -8.417   -5.851    3.393    5.854    5.854    7.690
   10.513   10.513   10.896
           -0.187500  0.187500  0.187500
   -8.508   -8.480   -8.480   -8.417   -8.417   -5.804    3.184    5.811    5.811    7.679
   10.568   10.568   11.061
           -0.200000  0.200000  0.200000
   -8.510   -8.479   -8.479   -8.417   -8.417   -5.755    2.977    5.769    5.769    7.660
   10.621   10.621   11.236
           -0.212500  0.212500  0.212500
   -8.513   -8.478   -8.478   -8.417   -8.417   -5.703    2.772    5.726    5.726    7.636
   10.669   10.669   11.417
           -0.225000  0.225000  0.225000
   -8.515   -8.478   -8.478   -8.417   -8.417   -5.649    2.571    5.684    5.684    7.608
   10.714   10.714   11.604
           -0.237500  0.237500  0.237500
   -8.518   -8.477   -8.477   -8.417   -8.417   -5.592    2.373    5.642    5.642    7.578
   10.754   10.754   11.795
           -0.250000  0.250000  0.250000
   -8.520   -8.476   -8.476   -8.417   -8.417   -5.534    2.179    5.602    5.602    7.545
   10.789   10.789   11.990
           -0.262500  0.262500  0.262500
   -8.523   -8.476   -8.476   -8.417   -8.417   -5.474    1.988    5.562    5.562    7.511
   10.819   10.819   12.188
           -0.275000  0.275000  0.275000
   -8.525   -8.475   -8.475   -8.416   -8.416   -5.412    1.803    5.524    5.524    7.477
   10.844   10.844   12.386
           -0.287500  0.287500  0.287500
   -8.528   -8.474   -8.474   -8.416   -8.416   -5.349    1.622    5.487    5.487    7.443
   10.864   10.864   12.585
           -0.300000  0.300000  0.300000
   -8.530   -8.474   -8.474   -8.416   -8.416   -5.285    1.446    5.452    5.452    7.409
   10.879   10.879   12.781
           -0.312500  0.312500  0.312500
   -8.532   -8.473   -8.473   -8.416   -8.416   -5.221    1.276    5.418    5.418    7.376
   10.889   10.889   12.974
           -0.325000  0.325000  0.325000
   -8.535   -8.473   -8.473   -8.416   -8.416   -5.156    1.112    5.386    5.386    7.345
   10.896   10.896   13.160
           -0.337500  0.337500  0.337500
   -8.537   -8.472   -8.472   -8.415   -8.415   -5.092    0.955    5.356    5.356    7.315
   10.899   10.899   13.335
           -0.350000  0.350000  0.350000
   -8.539   -8.472   -8.472   -8.415   -8.415   -5.028    0.805    5.328    5.328    7.287
   10.900   10.900   13.495
           -0.362500  0.362500  0.362500
   -8.541   -8.471   -8.471   -8.415   -8.415   -4.965    0.663    5.302    5.302    7.260
   10.898   10.898   13.635
           -0.375000  0.375000  0.375000
