 &plot nbnd=  13, nks=   201 /
            0.000000  0.000000  1.000000
   -8.311   -8.140   -8.140   -8.137   -8.094   -3.621   -0.257    3.966    3.966    8.032
    8.263   16.990   16.990
            0.000000  0.000000  0.975000
   -8.311   -8.140   -8.140   -8.137   -8.094   -3.629   -0.245    3.969    3.969    8.028
    8.274   16.968   16.968
            0.000000  0.000000  0.950000
   -8.310   -8.140   -8.140   -8.136   -8.094   -3.654   -0.211    3.977    3.977    8.018
    8.304   16.904   16.904
            0.000000  0.000000  0.925000
   -8.310   -8.140   -8.140   -8.136   -8.094   -3.695   -0.155    3.990    3.990    8.007
    8.349   16.802   16.802
            0.000000  0.000000  0.900000
   -8.309   -8.141   -8.141   -8.136   -8.094   -3.749   -0.080    4.009    4.009    7.998
    8.406   16.671   16.671
            0.000000  0.000000  0.875000
   -8.307   -8.142   -8.142   -8.135   -8.094   -3.816    0.014    4.033    4.033    7.993
    8.472   16.515   16.515
            0.000000  0.000000  0.850000
   -8.306   -8.143   -8.143   -8.135   -8.094   -3.893    0.124    4.062    4.062    7.992
    8.546   16.341   16.341
            0.000000  0.000000  0.825000
   -8.304   -8.144   -8.144   -8.134   -8.095   -3.978    0.247    4.096    4.096    7.997
    8.627   16.154   16.154
            0.000000  0.000000  0.800000
   -8.302   -8.145   -8.145   -8.133   -8.095   -4.070    0.384    4.136    4.136    8.008
    8.716   15.957   15.957
            0.000000  0.000000  0.775000
   -8.300   -8.146   -8.146   -8.133   -8.095   -4.166    0.530    4.180    4.180    8.025
    8.810   15.753   15.753
            0.000000  0.000000  0.750000
   -8.297   -8.148   -8.148   -8.132   -8.096   -4.265    0.686    4.230    4.230    8.048
    8.910   15.543   15.543
            0.000000  0.000000  0.725000
   -8.295   -8.149   -8.149   -8.131   -8.096   -4.367    0.850    4.284    4.284    8.077
    9.015   15.330   15.330
            0.000000  0.000000  0.700000
   -8.292   -8.151   -8.151   -8.130   -8.097   -4.470    1.021    4.344    4.344    8.112
    9.124   15.114   15.114
            0.000000  0.000000  0.675000
   -8.288   -8.153   -8.153   -8.129   -8.097   -4.574    1.198    4.408    4.408    8.153
    9.236   14.897   14.897
            0.000000  0.000000  0.650000
   -8.285   -8.155   -8.155   -8.128   -8.098   -4.677    1.380    4.477    4.477    8.199
    9.350   14.679   14.679
            0.000000  0.000000  0.625000
   -8.281   -8.157   -8.157   -8.127   -8.098   -4.779    1.567    4.550    4.550    8.252
    9.464   14.461   14.461
            0.000000  0.000000  0.600000
   -8.277   -8.159   -8.159   -8.126   -8.099   -4.880    1.758    4.628    4.628    8.310
    9.576   14.243   14.243
            0.000000  0.000000  0.575000
   -8.273   -8.161   -8.161   -8.125   -8.100   -4.979    1.953    4.711    4.711    8.374
    9.684   14.026   14.026
            0.000000  0.000000  0.550000
   -8.269   -8.163   -8.163   -8.124   -8.100   -5.075    2.150    4.797    4.797    8.443
    9.785   13.809   13.809
            0.000000  0.000000  0.525000
   -8.265   -8.165   -8.165   -8.123   -8.101   -5.169    2.351    4.887    4.887    8.518
    9.874   13.594   13.594
            0.000000  0.000000  0.500000
   -8.261   -8.167   -8.167   -8.121   -8.101   -5.260    2.554    4.981    4.981    8.597
    9.948   13.380   13.380
            0.000000  0.000000  0.475000
   -8.256   -8.169   -8.169   -8.120   -8.102   -5.347    2.760    5.079    5.079    8.680
   10.002   13.168   13.168
            0.000000  0.000000  0.450000
   -8.252   -8.171   -8.171   -8.119   -8.103   -5.432    2.968    5.180    5.180    8.768
   10.031   12.958   12.958
            0.000000  0.000000  0.425000
   -8.247   -8.173   -8.173   -8.118   -8.103   -5.512    3.178    5.283    5.283    8.859
   10.033   12.751   12.751
            0.000000  0.000000  0.400000
   -8.242   -8.175   -8.175   -8.117   -8.104   -5.589    3.390    5.389    5.389    8.952
   10.005   12.547   12.547
            0.000000  0.000000  0.375000
   -8.238   -8.177   -8.177   -8.116   -8.104   -5.662    3.603    5.498    5.498    9.046
    9.949   12.346   12.346
            0.000000  0.000000  0.350000
